basket,ticker,lookback,vol_mult,sharpe
us_equity_broad,SPY,21,1.5,0.0645178364139876
us_equity_broad,QQQ,21,1.5,0.6350423183532833
us_equity_broad,IWM,21,1.5,-0.4760536785209152
us_equity_broad,DIA,21,1.5,-0.5448061230300021
us_equity_broad,MDY,21,1.5,-0.5314580932822104
us_equity_broad,IVV,21,1.5,-0.07082310628966394
us_equity_broad,VOO,21,1.5,0.09651261041744531
us_factor,IWF,21,1.5,0.4931037287970931
us_factor,IWD,21,1.5,-0.6279645862886574
us_factor,MTUM,21,1.5,0.46384943547162005
us_factor,USMV,21,1.5,-0.06835808519651838
us_factor,VTV,21,1.5,-0.4716900815024374
us_factor,VUG,21,1.5,0.4447274451846881
us_factor,DVY,21,1.5,-0.6065000463300773
us_factor,QUAL,21,1.5,0.35578814779431195
us_sectors,XLK,8,2.0,0.6620878474956207
us_sectors,XLC,8,2.0,-0.15535779530192317
us_sectors,XLI,8,2.0,-0.488501499657506
us_sectors,XLV,8,2.0,-0.29452965734227393
us_sectors,XLY,8,2.0,-0.2753559349721664
us_sectors,XLF,8,2.0,-0.5477595841087894
us_sectors,XLE,8,2.0,-0.12077393905049982
us_sectors,XLU,8,2.0,-0.30227425957019777
us_sectors,XLB,8,2.0,-0.5595728093086019
us_sectors,XLP,8,2.0,-0.30059335630271655
us_sectors,XLRE,8,2.0,-0.3699804051535332
bonds_us,TLT,21,2.0,-0.08831166085824631
bonds_us,IEF,21,2.0,-0.08288011095728863
bonds_us,SHY,21,2.0,-2.6664016296449238
bonds_us,HYG,21,2.0,-0.05848060009362796
bonds_us,LQD,21,2.0,0.18085535350946572
commodities,GLD,10,1.0,-0.1929723586701581
commodities,SLV,10,1.0,0.10478836408950935
commodities,USO,10,1.0,-0.148508382240442
commodities,GDX,10,1.0,0.44762058897109924
em_regional,EEM,14,2.0,0.010144667841750915
em_regional,EWZ,14,2.0,0.3599652865492258
em_regional,INDA,14,2.0,0.07881113869654471
em_regional,EWW,14,2.0,-0.4108683156515592
intl_liquid,EFA,14,2.0,-0.21431405076528248
intl_liquid,EZU,14,2.0,0.12293289773374476
intl_liquid,EWJ,14,2.0,-0.02486225038244305
intl_liquid,EWG,14,2.0,0.11521485435259263
intl_liquid,EWU,14,2.0,-0.541708694948811
