basket,ticker,threshold,sharpe
us_equity_broad,SPY,0.0,0.7929705426660766
us_equity_broad,QQQ,0.0,0.7673420676117474
us_equity_broad,IWM,0.0,0.6008051118754116
us_equity_broad,DIA,0.0,0.1298281538364094
us_equity_broad,MDY,0.0,0.6773746238357967
us_equity_broad,IVV,0.0,1.0490071579642488
us_equity_broad,VOO,0.0,0.8219861217014542
us_factor,IWF,0.0,1.186073478315209
us_factor,IWD,0.0,0.9456492161640436
us_factor,MTUM,0.0,1.1159753892081203
us_factor,USMV,0.0,1.3745585156974705
us_factor,VTV,0.0,1.3696167380118698
us_factor,VUG,0.0,0.2473545554800201
us_factor,DVY,0.0,1.7389100513874347
us_factor,QUAL,0.0,0.9077715276677124
us_sectors,XLK,-0.002,0.5912920891865364
us_sectors,XLC,-0.002,0.3499758539026052
us_sectors,XLI,-0.002,0.4107538305322101
us_sectors,XLV,-0.002,0.8152770456972597
us_sectors,XLY,-0.002,0.2368350944769411
us_sectors,XLF,-0.002,-0.0579857115358539
us_sectors,XLE,-0.002,-0.4779184794544938
us_sectors,XLU,-0.002,-0.409057126741594
us_sectors,XLB,-0.002,-0.3333987256244329
us_sectors,XLP,-0.002,0.3602912059284214
us_sectors,XLRE,-0.002,-0.0498538901827031
em_regional,EEM,-0.005,-0.0454677603400514
em_regional,EWZ,-0.005,0.0545347417740799
em_regional,INDA,-0.005,0.5986027916848639
em_regional,EWW,-0.005,1.3867340903347396
intl_liquid,EFA,-0.003,-0.026617649451247193
intl_liquid,EZU,-0.003,-0.11311040876939667
intl_liquid,EWJ,-0.003,-0.03672122451582722
intl_liquid,EWG,-0.003,-0.9144626457600359
intl_liquid,EWU,-0.003,0.35297182121580406
