entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2002-10-31,2003-06-02,long,oil,27.18,30.72,rebalance,1.359,367,1299.18,2.0,1297.18,100000.0,101297.18
2003-06-30,2003-10-31,long,oil,30.15,29.24,rebalance,1.5075,335,-304.85,2.02,-306.87,101297.18,100990.31
2003-12-01,2004-03-01,long,oil,29.89,36.85,rebalance,1.4945,337,2345.52,2.01,2343.51,100990.31,103333.82
2004-04-30,2006-10-31,long,oil,37.31,58.72,rebalance,1.8655,276,5909.16,2.06,5907.1,103333.82,109240.92
2007-01-01,2007-01-31,long,oil,60.85,58.17,rebalance,3.0425,179,-479.72,2.18,-481.9,109240.92,108759.02
2007-04-02,2007-04-30,long,oil,66.03,65.78,rebalance,3.3015,164,-41.0,2.17,-43.17,108759.02,108715.86
2002-10-31,2008-12-01,long,gold,318.0,774.6,rebalance,15.9,34,15524.4,2.16,15522.24,108715.86,124238.09
2007-08-31,2008-12-01,long,oil,73.98,49.34,rebalance,3.699,167,-4114.88,2.47,-4117.35,124238.09,120120.74
2008-12-31,2009-03-31,long,gold,883.6,922.6,rebalance,44.18,13,507.0,2.3,504.7,120120.74,120625.45
2009-11-30,2011-10-31,long,oil,77.19,93.19,rebalance,3.8595,156,2496.0,2.41,2493.59,120625.45,123119.04
2011-11-30,2012-04-30,long,oil,100.36,104.89,rebalance,5.018,122,552.66,2.45,550.21,123119.04,123669.25
2009-04-30,2012-08-31,long,gold,890.7,1684.6,rebalance,44.535,13,10320.7,2.32,10318.38,123669.25,133987.63
2012-10-01,2012-11-30,long,oil,92.44,88.54,rebalance,4.622,144,-561.6,2.66,-564.26,133987.63,133423.37
2012-10-31,2012-11-30,long,gold,1717.5,1710.9,rebalance,85.875,7,-46.2,2.4,-48.6,133423.37,133374.77
2013-01-31,2013-02-28,long,gold,1660.6,1577.7,rebalance,83.03,8,-663.2,2.66,-665.86,133374.77,132708.91
2013-07-01,2014-02-28,long,oil,97.94,102.88,rebalance,4.897,135,666.9,2.64,664.26,132708.91,133373.16
2014-07-31,2014-09-01,long,gold,1281.3,1285.8,rebalance,64.065,10,45.0,2.56,42.44,132884.49,132926.93
2014-03-31,2014-09-01,long,oil,101.57,97.86,rebalance,5.0785,131,-486.01,2.66,-488.67,133373.16,132884.49
2015-03-02,2015-03-31,long,gold,1207.7,1183.1,rebalance,60.385,11,-270.6,2.66,-273.26,132926.93,132653.67
2016-03-31,2017-05-31,long,gold,1234.2,1272.0,rebalance,61.71,10,378.0,2.47,375.53,132653.67,133029.21
2016-10-31,2017-06-30,long,oil,46.83,46.02,rebalance,2.3415,284,-230.04,2.66,-232.7,133029.21,132796.51
2017-06-30,2017-07-31,long,gold,1240.7,1266.6,rebalance,62.035,10,259.0,2.48,256.52,132796.51,133053.02
2017-10-02,2017-10-31,long,gold,1272.7,1267.0,rebalance,63.635,10,-57.0,2.55,-59.54,133053.02,132993.48
2018-01-01,2018-08-31,long,gold,1306.3,1200.3,rebalance,65.315,10,-1060.0,2.61,-1062.61,132993.48,131930.87
2017-08-31,2018-12-31,long,oil,47.26,45.15,rebalance,2.363,279,-588.69,2.64,-591.33,131930.87,131339.54
2019-12-31,2020-03-02,long,oil,61.14,46.78,rebalance,3.057,214,-3073.04,2.62,-3075.66,131339.54,128263.88
2019-07-01,2021-08-02,long,gold,1385.6,1818.1,rebalance,69.28,9,3892.5,2.49,3890.01,128263.88,132153.89
2022-03-31,2022-06-30,long,gold,1949.2,1804.1,rebalance,97.46,6,-870.6,2.34,-872.94,132153.89,131280.95
2022-08-01,2022-08-31,long,gold,1769.0,1712.8,rebalance,88.45,7,-393.4,2.48,-395.88,131280.95,130885.07
2021-03-01,2023-02-28,long,oil,60.54,76.88,rebalance,3.027,216,3529.44,2.62,3526.82,130885.07,134411.9
2023-02-28,2023-03-31,long,gold,1828.9,1969.0,rebalance,91.445,7,980.7,2.56,978.14,134411.9,135390.04
2023-10-31,2023-11-30,long,oil,81.64,75.66,rebalance,4.082,165,-986.7,2.69,-989.39,135390.04,134400.64
2024-04-01,2024-09-02,long,oil,84.54,74.52,rebalance,4.227,158,-1583.16,2.67,-1585.83,134400.64,132814.81
2025-01-31,2025-02-28,long,oil,72.84,69.97,rebalance,3.642,182,-522.34,2.65,-524.99,132814.81,132289.82
2023-05-01,2025-05-12,long,gold,1983.4,3220.0,end_of_data,99.17,6,7419.6,2.38,7417.22,132289.82,139707.04
