ticker,n_trades,sharpe,t_stat,t_p,boot_p5,perm_p,gates_pass,verdict,basket
SPY,115,0.9463,1.5517,0.0617,-0.0297,0.065,0,FAIL,us_equity_broad
QQQ,115,1.0386,1.703,0.0456,-0.0328,0.049,2,PASS,us_equity_broad
IWM,115,0.2487,0.4078,0.3421,-0.7267,0.352,0,FAIL,us_equity_broad
MDY,115,0.461,0.756,0.2256,-0.5554,0.24,0,FAIL,us_equity_broad
XLK,115,0.7381,1.2102,0.1143,-0.2856,0.126,0,FAIL,us_sectors
XLF,115,0.5139,0.8427,0.2006,-0.5251,0.216,0,FAIL,us_sectors
XLE,115,0.2955,0.4845,0.3145,-0.802,0.32,0,FAIL,us_sectors
XLV,115,1.0434,1.7109,0.0449,0.0127,0.049,3,PASS,us_sectors
XLI,115,0.862,1.4135,0.0801,-0.1369,0.086,0,FAIL,us_sectors
XLP,115,0.6814,1.1173,0.1331,-0.3279,0.144,0,FAIL,us_sectors
XLY,115,0.7798,1.2787,0.1018,-0.256,0.113,0,FAIL,us_sectors
XLU,115,0.6796,1.1143,0.1337,-0.3362,0.148,0,FAIL,us_sectors
XLB,115,0.8579,1.4068,0.0811,-0.1667,0.083,0,FAIL,us_sectors
XLRE,115,1.131,1.8545,0.0331,0.1155,0.041,3,PASS,us_sectors
XLC,86,1.4924,2.1111,0.0188,0.247,0.024,3,PASS,us_sectors
