basket,n_before,n_after,n_instruments,median_sharpe,mean_sharpe,pass_count,binomial_pvalue,binomial_significant
us_equity_broad,1,1,4,-0.0416,0.0295,0,1.0,False
us_equity_broad,1,2,4,0.0999,0.1398,0,1.0,False
us_equity_broad,1,3,4,0.0806,0.0822,0,1.0,False
us_equity_broad,1,4,4,0.2096,0.2059,0,1.0,False
us_equity_broad,1,5,4,0.3951,0.3804,1,0.185494,False
us_equity_broad,2,1,4,0.3623,0.3848,0,1.0,False
us_equity_broad,2,2,4,0.4221,0.4248,1,0.185494,False
us_equity_broad,2,3,4,0.3606,0.3334,0,1.0,False
us_equity_broad,2,4,4,0.4649,0.4361,2,0.014019,True
us_equity_broad,2,5,4,0.6046,0.5854,2,0.014019,True
us_equity_broad,3,1,4,0.3306,0.3736,1,0.185494,False
us_equity_broad,3,2,4,0.3892,0.4128,1,0.185494,False
us_equity_broad,3,3,4,0.3471,0.338,0,1.0,False
us_equity_broad,3,4,4,0.4482,0.4368,1,0.185494,False
us_equity_broad,3,5,4,0.6107,0.5896,2,0.014019,True
us_equity_broad,4,1,4,0.4892,0.509,2,0.014019,True
us_equity_broad,4,2,4,0.5443,0.5494,2,0.014019,True
us_equity_broad,4,3,4,0.4893,0.4661,2,0.014019,True
us_equity_broad,4,4,4,0.5827,0.5591,2,0.014019,True
us_equity_broad,4,5,4,0.7196,0.7011,3,0.000481,True
us_equity_broad,5,1,4,0.5297,0.5373,2,0.014019,True
us_equity_broad,5,2,4,0.5748,0.5697,2,0.014019,True
us_equity_broad,5,3,4,0.5207,0.5026,1,0.185494,False
us_equity_broad,5,4,4,0.6084,0.5884,2,0.014019,True
us_equity_broad,5,5,4,0.7236,0.724,4,6e-06,True
us_sectors,1,1,11,-0.0421,-0.0228,0,1.0,False
us_sectors,1,2,11,0.2152,0.1821,1,0.4312,False
us_sectors,1,3,11,0.195,0.1836,0,1.0,False
us_sectors,1,4,11,0.2254,0.259,0,1.0,False
us_sectors,1,5,11,0.4101,0.3978,1,0.4312,False
us_sectors,2,1,11,0.3718,0.3703,2,0.101895,False
us_sectors,2,2,11,0.4404,0.493,2,0.101895,False
us_sectors,2,3,11,0.3927,0.4507,3,0.015235,True
us_sectors,2,4,11,0.5144,0.5124,4,0.001552,True
us_sectors,2,5,11,0.6154,0.6276,7,0.0,True
us_sectors,3,1,11,0.3401,0.2985,0,1.0,False
us_sectors,3,2,11,0.3887,0.4218,2,0.101895,False
us_sectors,3,3,11,0.4028,0.4059,2,0.101895,False
us_sectors,3,4,11,0.4836,0.4661,2,0.101895,False
us_sectors,3,5,11,0.5919,0.5848,8,0.0,True
us_sectors,4,1,11,0.4808,0.407,4,0.001552,True
us_sectors,4,2,11,0.5009,0.5157,4,0.001552,True
us_sectors,4,3,11,0.5247,0.4882,3,0.015235,True
us_sectors,4,4,11,0.617,0.5464,6,6e-06,True
us_sectors,4,5,11,0.7083,0.6558,8,0.0,True
us_sectors,5,1,11,0.5147,0.4832,5,0.000112,True
us_sectors,5,2,11,0.5175,0.5767,5,0.000112,True
us_sectors,5,3,11,0.526,0.5553,4,0.001552,True
us_sectors,5,4,11,0.5866,0.6083,7,0.0,True
us_sectors,5,5,11,0.754,0.7138,8,0.0,True
